Activity, Exercise or Sport (1 hour);130 lb;155 lb;180 lb;205 lb;Calories per kg
Shoveling snow by hand;354;422;490;558;1.2348534447761199
Raking lawn;254;303;351;400;0.88551990447761197
Gardening, general;236;281;327;372;0.82323562985074605
Bagging grass, leaves;236;281;327;372;0.82323562985074605
Watering lawn or garden;89;106;123;140;0.31006736716417899
Weeding, cultivating garden;266;317;368;419;0.927494089552239
Carpentry, general;207;246;286;326;0.72100817910447801
Carrying heavy loads;472;563;654;745;1.6478252656716399
Carrying moderate loads upstairs;472;563;654;745;1.6478252656716399
General cleaning;207;246;286;326;0.72100817910447801
Cleaning, dusting;148;176;204;233;0.51519927164179102
Taking out trash;177;211;245;279;0.61742672238805996
Walking, pushing a wheelchair;236;281;327;372;0.82323562985074605
Teach physical education,exercise class;236;281;327;372;0.82323562985074605
